timestamp,event,details
2026-07-14T12:57:47,SUSPECTED_FALL,from MONITORING
2026-07-14T12:57:50,CONFIRMED_FALL,alert raised
2026-07-14T12:57:51,RESOLVED,from CONFIRMED_FALL
2026-07-14T12:57:54,SUSPECTED_FALL,from MONITORING
2026-07-14T12:57:57,CONFIRMED_FALL,alert raised
2026-07-14T12:58:01,MANUAL_RESOLVE,acknowledged by operator
2026-07-14T12:58:01,RESOLVED,from CONFIRMED_FALL
2026-07-14T12:58:03,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:06,CONFIRMED_FALL,alert raised
2026-07-14T12:58:11,RESOLVED,from CONFIRMED_FALL
2026-07-14T12:58:17,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:20,CONFIRMED_FALL,alert raised
2026-07-14T12:58:23,RESOLVED,from CONFIRMED_FALL
2026-07-14T12:58:26,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:31,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:34,CONFIRMED_FALL,alert raised
2026-07-14T12:58:39,RESOLVED,from CONFIRMED_FALL
2026-07-14T12:58:41,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:44,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:52,SUSPECTED_FALL,from MONITORING
2026-07-14T12:58:55,CONFIRMED_FALL,alert raised
2026-07-14T12:59:02,MANUAL_RESOLVE,acknowledged by operator
2026-07-14T12:59:02,RESOLVED,from CONFIRMED_FALL
2026-07-14T12:59:05,SUSPECTED_FALL,from MONITORING
2026-07-14T12:59:08,CONFIRMED_FALL,alert raised
2026-07-14T13:04:09,SUSPECTED_FALL,from MONITORING
2026-07-14T13:04:11,SUSPECTED_FALL,from MONITORING
2026-07-14T13:04:12,SUSPECTED_FALL,from MONITORING
